,feature,class
10,"[-3.0146646e+02  1.0333372e+02 -3.0055399e+01  6.5379820e+00
 -1.6073357e+01 -1.9892643e+01  2.6853278e+00  7.5118923e+00
 -2.6493494e+01  1.1737914e+01 -5.9054923e+00  1.1655062e+00
 -8.2674961e+00 -4.5090814e+00 -4.4480224e+00  2.5188935e-01
 -5.6522813e+00  3.3306134e+00 -1.4335458e+00 -5.8408570e+00
 -7.0357060e+00 -3.8705997e+00 -7.2229199e+00 -4.1822481e+00
  1.2377032e+00  9.5236480e-01  1.5007955e+00  2.0936866e+00
  3.5866561e+00  2.1082218e+00  6.6025084e-01  3.2067904e+00
  3.5629705e-01  1.3488963e+00  2.6266913e+00  4.7281971e+00
  5.2972441e+00  6.4347324e+00  5.9438586e+00  4.8388329e+00]",Anger
11,"[-3.3627280e+02  9.7955826e+01 -2.2681692e+01  1.2541983e+01
 -1.6560411e+01 -1.5839794e+01  6.6167217e-01  9.2541628e+00
 -2.7246080e+01  1.0178040e+01 -2.7375352e+00  2.6956825e+00
 -4.6178598e+00 -6.8332663e+00 -2.9124072e+00 -1.3082790e-01
 -5.6432738e+00  9.6356726e-01 -2.2596385e+00 -5.0145502e+00
 -3.7020752e+00 -1.3793608e+00 -8.0910330e+00 -5.9989352e+00
 -3.9927955e+00 -3.7274520e+00 -3.2360311e+00  6.8426609e-01
  9.1008800e-01  6.4049554e-01  1.1118482e-01  7.7587622e-01
 -4.9815077e-01  2.2384298e-01  1.3767767e+00  1.4476416e+00
  2.1860616e+00  3.7656953e+00  2.8431673e+00  2.0716999e+00]",Anger
12,"[-2.6006894e+02  1.0588260e+02 -5.9159527e+01  3.9717266e+01
 -3.8577438e+01  7.4490166e+00 -1.6967403e+01 -9.3958178e+00
 -1.7745403e+01 -1.8384287e+01  3.5099075e+00 -1.7695166e+01
 -1.4620379e+00 -1.1500603e+01  2.0529997e+00 -6.9585867e+00
 -9.5706730e+00 -8.2698721e-01 -9.5816565e+00 -3.9513490e+00
 -6.4767466e+00 -8.6310834e-02 -6.7365150e+00 -2.3346908e+00
 -2.8288527e+00 -3.3104222e+00  3.2464864e+00  3.6867690e+00
  9.5495043e+00  4.1244760e+00  7.8425417e+00  5.3123546e+00
  4.0919075e+00  5.6642971e+00  3.6621439e+00  4.6739316e+00
  1.1735188e+00  2.7844112e+00  1.4111254e+00  2.8401318e+00]",Anger
13,"[-3.0239682e+02  1.0169943e+02 -2.6596180e+01  9.1339989e+00
 -1.7894966e+01 -1.7802261e+01  8.5293061e-01  8.2571526e+00
 -2.8915823e+01  1.0269512e+01 -5.6147981e+00 -6.5529031e-01
 -5.8677540e+00 -7.9943604e+00 -2.8617346e+00  1.0340515e+00
 -7.9429512e+00  3.1618550e-01 -3.4127402e+00 -7.2828584e+00
 -3.7317278e+00 -1.3618267e+00 -8.3730507e+00 -5.8077211e+00
 -3.0095742e+00 -5.1733546e+00 -4.2904730e+00 -4.3640503e-01
 -7.8087991e-01 -1.3052344e+00  1.4442260e+00  1.7375083e+00
  2.7032852e-02  2.0184274e-01  5.9101743e-01  1.9750528e+00
  2.8175116e+00  2.2920175e+00  5.3146452e-01 -1.5733052e+00]",Anger
14,"[-3.2855573e+02  8.3865929e+01 -2.0229931e+01  2.9771318e+01
  4.8871789e+00 -8.9776592e+00 -3.6653278e+00  1.0329491e+01
 -1.8345678e+01  6.7886233e+00 -1.1169371e+01 -2.4682438e+00
 -4.3414865e+00 -6.8894095e+00 -4.0020428e+00  2.9035926e+00
 -3.0661769e+00  2.5617125e+00  1.0652739e+00 -6.1611085e+00
 -4.9826303e+00 -1.7944391e+00 -7.0084085e+00 -4.6577125e+00
 -1.7152450e+00  8.3138086e-03  2.4808960e+00  6.9343424e+00
  8.3253326e+00  8.5389338e+00  1.5448900e+00 -5.1544940e-01
  3.8332030e-01  1.3676218e+00  5.9251575e+00  4.6450853e+00
  4.0366502e+00  3.0093858e+00  3.2403634e+00  5.0457993e+00]",Anger
15,"[-3.4191580e+02  1.0004258e+02 -2.6921036e+01  2.8098680e+01
  6.7539024e+00 -9.3538752e+00 -4.3714266e+00  1.1670626e+01
 -2.3563177e+01  5.7506819e+00 -1.1125175e+01 -4.0353208e+00
 -2.7220299e+00 -8.3818388e+00 -2.6394746e+00  4.4761605e+00
 -6.4629841e+00  2.3567293e+00  2.6267207e-01 -3.3557715e+00
 -5.3354154e+00 -1.1450218e+00 -6.5515685e+00 -5.2155976e+00
 -1.6379290e+00  9.8247960e-02  1.4501942e+00  3.4159706e+00
  3.5838120e+00  7.2604771e+00  5.7657886e+00  4.9646869e+00
  1.9932381e+00  1.3064089e+00  3.1785276e+00  5.3608723e+00
  5.7485719e+00  6.4850364e+00  4.7485337e+00  6.2035937e+00]",Anger
16,"[-3.51616699e+02  9.10711823e+01 -2.91015053e+01  3.89003296e+01
 -2.29802668e-01 -1.14741287e+01 -8.21217537e+00  1.03041878e+01
 -2.25684376e+01  8.29561138e+00 -1.34845495e+01 -3.17917585e+00
 -2.17393875e+00 -9.00434971e+00 -1.58621442e+00  1.61055851e+00
 -5.51468468e+00  3.59904432e+00 -1.05648065e+00 -4.42970991e+00
 -5.30135679e+00 -2.91890717e+00 -5.88588810e+00 -4.28861809e+00
 -7.33452439e-01 -9.40178096e-01 -1.00381318e-02  8.98714960e-01
 -3.01049089e+00 -1.98071694e+00 -1.96542001e+00 -8.71702805e-02
  1.25633585e+00  1.69876504e+00  2.70629811e+00  1.61615098e+00
  2.64043283e+00  4.07122898e+00  4.05400562e+00  4.30605793e+00]",Anger
17,"[-4.8526788e+02  9.2419678e+01  6.3343034e+00  2.5280043e+01
 -1.3054001e+01 -5.5884733e+00  1.5877711e+00  1.0179165e+01
 -1.6036749e+01  5.2543283e+00 -9.7539639e-01  4.6442356e+00
 -7.9001088e+00  1.1500176e+01 -7.5654969e+00  1.7163942e+00
 -1.6280802e+00 -3.7282064e+00 -6.3576851e+00 -2.0808747e+00
 -3.1297488e+00  4.9527531e+00 -2.7950144e-01  9.3386717e+00
  3.9360538e+00  4.9707236e+00  3.6476004e+00  2.0952451e+00
 -1.3283628e+00  1.8590443e+00 -2.5740573e+00 -1.7004901e+00
  1.1224399e+00  6.3931555e-01  1.6893747e+00  2.0477169e+00
  3.9872091e+00  2.8788650e+00  5.2043867e+00  6.8992329e+00]",Anger
18,"[-3.5398502e+02  8.3847794e+01 -2.8876278e+01  3.6940022e+01
  3.9785407e+00 -8.0447865e+00 -4.3912430e+00  1.1944746e+01
 -1.9523203e+01  7.5598617e+00 -1.2368225e+01 -2.1233928e+00
 -3.1658539e-01 -7.9908257e+00 -2.1270664e+00  3.3710911e+00
 -6.9590940e+00  3.5330234e+00 -1.3163511e+00 -4.8229852e+00
 -3.0119267e+00 -2.6670680e+00 -4.5034547e+00 -3.4255581e+00
 -2.6781607e+00 -3.5021708e+00 -4.8021197e-01  1.3075794e+00
 -1.2276173e-01  1.5082203e+00  1.2337301e+00  1.2787904e+00
  1.9074360e+00 -3.9104280e-01  3.5789723e+00  4.9165535e+00
  5.1628590e+00  5.5354304e+00  3.5132544e+00  1.2669095e+00]",Anger
19,"[-3.4398520e+02  6.8972702e+01 -2.5680069e+01  3.1133984e+01
  1.0038195e+01 -4.1025853e+00 -1.2991527e+01  1.3424009e+01
 -1.5543230e+01  8.6145687e+00 -8.7722502e+00  1.0929890e+00
 -3.3471389e+00 -4.1809673e+00 -5.7192602e+00  4.4459500e+00
 -6.5344443e+00  2.7489130e+00 -2.5264027e+00 -1.7700348e+00
 -5.9286666e+00  1.4642818e-01 -5.6220098e+00 -4.9315162e+00
 -3.2303431e+00  2.1857154e-01 -1.3821974e+00  1.2806929e+00
  1.7444956e+00  2.1458836e+00  1.4692687e+00  2.6441748e+00
  9.7537339e-01  2.0111542e+00  4.9020576e+00  5.1797771e+00
  3.6210489e+00  1.3902061e+00 -1.5586087e-01  1.7096596e+00]",Anger
20,"[-315.1368       72.5059      -29.249435     39.85743       8.894012
   -3.5724921   -11.672795     10.028437    -20.779972      9.900654
  -13.699509      4.672095     -9.09899      -1.4811101    -5.770158
    2.7859318    -7.075526      3.4666414    -3.1845684    -1.0775691
   -2.4556484     1.398393     -7.4995728    -5.1636834    -4.2079787
    0.7382549    -1.1664692     4.931498      4.584738      6.884681
    3.7845855     1.3521025    -0.49325073   -1.0097047     0.9926066
    2.3569515     2.1665623     2.837199      4.084571      4.6316695 ]",Anger
21,"[-5.6528113e+02  3.3515739e+01 -3.6998360e+00  2.1963955e+01
 -5.2340155e+00  2.8879724e+00 -7.3046708e+00 -1.2417558e+00
 -1.2620593e+01 -4.2310319e+00 -1.2072500e+01 -3.4656063e-01
 -7.1589923e+00  3.9063849e+00 -4.8332367e+00 -3.2390666e-01
 -1.7577672e+00  2.6672691e-01 -6.4623947e+00 -8.4601730e-01
 -4.4889011e+00 -8.6443025e-01 -3.0185142e+00  9.2461419e-01
 -3.0260885e-01  9.2967302e-01  1.8874055e+00  4.9390779e+00
  2.1554825e+00  3.5393360e+00  1.6903429e+00  3.0095005e+00
  1.1388549e-01  1.8974862e+00  2.2654769e+00  2.8659515e+00
  2.4327171e+00  1.2796872e+00  2.4677064e-01  4.5472133e-01]",Anger
22,"[-3.30221344e+02  7.25764694e+01 -2.28297329e+01  3.85580254e+01
  6.75899172e+00  1.18635960e-01 -1.42352142e+01  1.20161791e+01
 -2.10639381e+01  1.07020588e+01 -1.54183350e+01  4.13248730e+00
 -9.59023857e+00 -9.33979797e+00 -6.38098526e+00  2.34998941e+00
 -7.22062731e+00  7.69728065e-01 -3.57448602e+00 -3.32335925e+00
 -6.54766560e+00 -4.93283689e-01 -7.00352812e+00 -4.42248774e+00
 -4.16417265e+00 -2.14293933e+00 -4.78449917e+00 -1.50814140e+00
 -4.62054539e+00 -3.33281732e+00 -1.07279524e-01  3.58473754e+00
  6.20860195e+00  4.63486814e+00  2.92848921e+00  1.89642692e+00
  1.96722353e+00  1.95166373e+00  3.30730057e+00  1.08325195e+00]",Anger
23,"[-2.5570441e+02  9.7395531e+01 -4.4814091e+01  5.1926708e+01
 -9.2980318e+00  1.1185200e+00 -1.1588322e+01 -2.9916761e+00
 -1.7597391e+01 -1.6853636e+01  9.5214552e-01 -1.4239366e+01
 -4.7484928e-01 -1.2741500e+01  1.8406563e+00 -1.0459944e+00
 -7.6584096e+00  9.7903848e-02 -6.3707409e+00 -1.8525073e-02
 -2.7800341e+00  7.3884755e-01 -4.8671126e+00 -4.6917782e+00
 -3.9635501e+00 -6.1171374e+00 -1.8553149e+00 -2.0342283e+00
  1.0812839e+00 -2.0946257e+00  2.0354810e+00  7.2572100e-01
  6.0268891e-01  2.5442533e+00 -1.7294003e-01  2.4115942e+00
 -4.4689953e-01  1.0149090e+00  2.1113973e+00  3.1287701e+00]",Anger
24,"[-3.5658606e+02  6.4455498e+01 -2.0415550e+01  3.4725914e+01
  7.2741718e+00  2.7092097e+00 -7.8094792e+00  1.1341208e+01
 -1.7263485e+01  9.7356501e+00 -1.1658398e+01  5.5180397e+00
 -7.5934200e+00 -4.6507778e+00 -3.1519604e+00  3.9792643e+00
 -6.8281612e+00  1.3159151e+00 -2.9205041e+00 -3.5159469e+00
 -4.6720195e+00 -6.8940800e-01 -6.2857680e+00 -3.7406063e+00
 -2.8772523e+00 -1.0886520e+00 -4.4812832e+00  3.4618035e-01
 -2.0440767e+00 -7.9728991e-01  3.3711064e-01  1.4497247e+00
  2.5051801e+00  4.2644114e+00  3.9414601e+00  5.5192442e+00
  3.4360378e+00  8.9799416e-01 -2.6710346e-01  7.0341551e-03]",Anger
25,"[-3.2061343e+02  7.9895004e+01 -1.0538395e+01  3.2141548e+01
 -1.4044360e+00 -1.3173104e+01 -6.1018591e+00  1.2486903e+01
 -3.0577511e+01  4.4353499e+00 -1.2510775e+01 -2.2744541e+00
 -1.0579223e+01 -3.4140642e+00 -2.8269796e+00  4.6276860e+00
 -7.3743763e+00  3.1665976e+00 -2.6107430e+00 -4.6047602e+00
 -7.0765100e+00 -3.1667116e+00 -5.9352312e+00 -1.3204383e+00
  3.1761861e+00  2.5583937e+00  2.1343260e+00  3.6877911e+00
  2.9921797e-01  3.0853493e+00  1.5952659e+00  2.1597624e+00
  2.6705327e+00  4.2405281e+00  4.9914398e+00  7.7633948e+00
  6.5117126e+00  3.5557065e+00  2.8459582e+00  1.8286837e+00]",Anger
26,"[-3.2268387e+02  7.3039932e+01 -1.2188979e+00  3.2910378e+01
 -5.9409838e+00 -9.1429186e+00 -3.7865531e+00  9.0776424e+00
 -2.8728914e+01  5.2458987e+00 -9.7018118e+00 -2.7822745e+00
 -6.9155779e+00 -4.7343926e+00 -1.3115289e+00 -3.0621621e-01
 -8.0316753e+00  2.4280984e+00 -3.5928783e+00 -4.9403706e+00
 -6.1766105e+00 -3.1977854e+00 -4.6040592e+00 -1.5013738e+00
  3.4321604e+00  2.0777769e+00  2.1437464e+00  3.2103851e+00
  2.8422480e+00  6.3905463e+00  4.6549959e+00  5.2150407e+00
  5.2102780e+00  2.9110191e+00  2.2552280e+00  2.7070894e+00
  3.3029244e+00  3.7709231e+00  2.4716115e+00  1.9202358e+00]",Anger
27,"[-3.3695633e+02  7.5678009e+01 -6.1611786e+00  3.3814774e+01
 -7.5937843e+00 -4.4207044e+00 -4.4776969e+00  7.7475262e+00
 -2.8959452e+01  1.6011399e+00 -9.6324759e+00 -5.4460425e+00
 -4.5324001e+00 -8.5794058e+00  3.9687368e-01  1.8668325e+00
 -6.5997920e+00 -2.2976799e-01 -2.5775352e+00 -4.0289664e+00
 -5.7551417e+00 -1.8524443e+00 -6.3581614e+00 -6.2583780e+00
 -1.4926416e+00 -3.6080370e+00 -2.9249136e+00  9.7353989e-01
 -1.5212146e+00  1.5119666e+00  1.1996982e+00  3.7630484e+00
  3.8392270e+00  2.4692848e+00  2.7089002e+00  5.8021396e-01
  1.7350587e+00  3.4059060e+00  1.4095244e+00 -1.3189504e+00]",Anger
28,"[-330.50327      76.801674     -7.1421266    37.350338     -5.8234344
   -5.3590446    -3.4298778     7.664535    -25.826424      2.2422945
   -8.315318     -3.2295287    -5.526547     -8.168106     -3.4737582
    3.436791     -7.5890994    -0.5157646    -1.4550083    -5.1023097
   -5.989108     -2.6546216    -4.7556953    -5.576664     -1.182607
   -3.6076422    -4.10731       1.8703793    -1.3382175     0.95116293
   -1.0206807    -1.520705     -1.2372999     1.7846099     4.6385083
    5.649382      5.905878      4.106272      0.9935135    -2.033498  ]",Anger
29,"[-3.0116901e+02  9.3811966e+01 -3.6319874e+01  2.6269035e+01
  6.3840232e+00 -6.5399146e+00 -1.4481084e+01  7.7901015e+00
 -2.4662457e+01  3.4351130e+00 -6.8811307e+00 -5.6307425e+00
 -1.7196784e-02 -6.7957015e+00 -4.9932580e+00  3.1128266e+00
 -5.1564574e+00  1.6821954e+00 -8.3042300e-01 -2.2597551e+00
 -6.5663357e+00 -2.2192407e+00 -6.3677130e+00 -4.9607124e+00
  6.7466813e-01  1.3127515e+00  1.8110136e+00  3.9495182e+00
  3.1891015e+00  2.0027273e+00  2.6987011e+00  3.6357396e+00
  1.1592773e+00  2.1316509e-01  1.5672176e+00  1.8276417e+00
  3.0063543e+00  5.4111900e+00  5.2548337e+00  3.7049503e+00]",Anger
30,"[-4.3512506e+02  7.7973846e+01 -7.6868896e+00  1.9171040e+01
 -1.6089970e+01 -6.1024537e+00 -5.2392235e+00  8.1101532e+00
 -1.3520728e+01  3.6721275e+00 -5.8671870e+00  3.5931768e+00
 -5.7556658e+00  4.0615134e+00 -1.0244196e+01  4.3790606e-01
 -3.0097651e+00  6.4367509e-01 -1.3003982e+00  9.8014898e+00
  3.9226379e+00  4.3386912e+00  2.7305150e+00  6.8000646e+00
  5.9216890e+00  7.0336027e+00  5.5957303e+00  3.9088101e+00
 -7.7594119e-01  2.9248714e+00  4.9671574e+00  2.2699049e+00
  1.3389447e+00  3.7193722e-01  1.1958932e+00  3.0922365e+00
  6.0357199e+00  1.1647178e+00  2.9659712e+00  5.3671736e-02]",Anger
31,"[-3.2807172e+02  9.4170319e+01 -3.5314285e+01  2.9288277e+01
  7.9048009e+00 -2.9847195e+00 -1.3813411e+01  1.0372877e+01
 -2.5020174e+01  4.4225626e+00 -6.9037147e+00 -3.6512585e+00
 -9.7301382e-01 -4.4571786e+00 -4.6728649e+00  4.9416261e+00
 -5.3318872e+00  3.9384811e+00 -2.9903028e+00 -5.4522134e-02
 -5.2236462e+00 -1.8976740e+00 -6.0268493e+00 -3.4729176e+00
 -7.7538711e-01  8.5501117e-01 -7.0504385e-01  1.6734691e+00
  1.4011164e+00  2.1208708e+00  5.5434151e+00  5.8364687e+00
  3.3016455e+00  2.5737388e+00  9.6805513e-01 -1.8601401e-02
  2.2012751e+00  1.0706630e+00  7.4949646e-01  1.4767548e+00]",Anger
32,"[-3.2789459e+02  9.1402817e+01 -3.5023464e+01  2.9765324e+01
  6.6560811e-01 -2.7356687e-01 -1.4278189e+01  6.4501672e+00
 -2.2508230e+01  4.2306843e+00 -8.2079763e+00 -3.2460394e+00
 -2.9602969e-01 -7.7252584e+00 -3.6996760e+00  5.3115282e+00
 -7.9110141e+00 -6.7778546e-01 -3.1176405e+00 -3.1501236e+00
 -5.8417149e+00 -3.1876945e+00 -4.9203496e+00 -7.3433146e+00
 -3.0354855e+00 -3.2713611e+00 -2.5423226e+00  2.3821325e+00
  1.1361473e+00  2.3094320e+00  3.0877993e+00  6.9980711e-01
 -3.7633720e-01 -2.1859389e-02  5.9813976e-01  2.9405897e+00
  4.3725500e+00  1.7368251e+00  1.0782857e+00  8.1737369e-01]",Anger
33,"[-5.0432104e+02  3.3680843e+01 -9.7939987e+00  2.5373413e+01
 -2.9813495e+00 -3.5490508e+00 -8.0444012e+00 -3.8283815e+00
 -1.1524480e+01  9.6118912e-02 -1.2369422e+01  5.8700671e+00
 -7.7573700e+00  5.6046877e+00 -4.9324450e+00 -4.6721497e-01
 -8.0315286e-01  3.7756559e-01 -4.8538260e+00  2.3362692e-01
 -5.4883475e+00  1.4602704e-01 -5.6434712e+00  2.1172206e+00
 -3.2535686e+00  8.5500109e-01  1.8126408e+00  2.4626536e+00
  2.5973155e+00  5.0553217e+00  2.0928946e+00  4.7019353e+00
  1.3965448e+00  2.3024645e+00  1.7171985e+00  2.6169107e+00
  2.9829066e+00  1.3184780e+00  1.8877554e-01  1.9065017e-01]",Anger
34,"[-278.85025      97.791916    -56.727825     50.401093    -25.90171
    3.557069    -22.093714     -4.7877483   -17.737776    -23.177505
    1.8841783   -15.175626      1.015491    -13.993511      2.6673315
   -3.741677    -13.224728     -1.7967271    -6.0344205    -3.58498
   -6.8435936    -0.5102987    -7.933124     -0.34658316    2.2998886
    1.0316886     7.1717544     6.822265      7.8860817     0.283407
    5.2705364     1.5756651     2.8300307     5.3391585     1.3069637
    3.841307      1.1626626     4.2644033     2.415813      1.9645257 ]",Anger
35,"[-3.4088562e+02  9.3404701e+01 -3.4661728e+01  3.3402473e+01
 -1.1171511e+00 -5.9490237e-02 -1.3141514e+01  7.4861531e+00
 -2.2189564e+01  3.5470655e+00 -8.1020765e+00 -1.8448278e+00
 -6.1177570e-01 -7.3763232e+00 -3.6957910e+00  4.1350560e+00
 -7.7192116e+00  2.2704723e+00 -3.1176453e+00 -2.6597452e+00
 -4.5872216e+00 -2.0376341e+00 -5.3527637e+00 -5.4850802e+00
 -2.4877243e+00 -2.8351965e+00 -3.5515623e+00  4.0579281e+00
  2.0419804e-02  7.9730040e-01  1.6955230e+00 -5.3156161e-01
 -4.3768159e-01  1.2630850e+00  1.1947894e+00  2.6516070e+00
  2.5263417e+00  9.7148597e-01  1.9021155e-01 -1.7274987e+00]",Anger
36,"[-3.3116696e+02  7.7340088e+01 -1.4707868e+01  3.6225590e+01
  8.9669781e+00  2.9315520e-02 -1.6120529e+01  5.1705928e+00
 -2.0855511e+01  3.2642086e+00 -1.0464281e+01 -3.0035260e+00
 -7.0286613e+00 -1.2129624e+00 -3.8107246e-02  6.6729467e-03
 -4.1529002e+00  3.0869832e+00 -4.2533481e-01 -5.8999858e+00
 -7.1808810e+00 -3.6639404e+00 -7.9230113e+00 -3.5254972e+00
  2.9533455e+00  2.9547992e+00  5.7513247e+00  6.7464299e+00
  2.9485614e+00  5.0691018e+00  3.8355758e+00  5.8186407e+00
  4.9516530e+00  2.8424592e+00  4.8318987e+00  3.8422742e+00
  4.2898302e+00  4.2126780e+00  3.8879089e+00  1.5588440e+00]",Anger
